Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2023 November 1, 9:25PM",Luigi Mammoliti,Product Research,5,5,5,5,,,RachelPeters,Louie Mammoliti,Product Research,"Wednesday, November 1, 2023 04:00pm (Sydney, Melbourne Time)",5746453169328440408,44-2023,5,
"2023 November 2, 10:59AM",Michael Bondarenko,Ad Angle Review,4,4,5,4,The internet connection was poor and it lagged on my end.,I loved the transparency from Reza being brutally honest not many coaches do that and I really appreciate that from him,NiheshThevakumar,Michael Bondarenko,Ad Account Review (Before Going Live),"Thursday, November 2, 2023 10:30am (Sydney, Melbourne Time)",5746941625214754732,44-2023,4.25,
"2023 November 2, 12:58PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,TomKopun,Shahin Ghorbani,Ad Account Review (Before Going Live),"Thursday, November 2, 2023 12:00pm (Adelaide Time)",5747013237216897703,44-2023,5,
"2023 November 2, 3:21PM",Luigi Mammoliti,Product Research,5,5,5,5,the coaching call experience was good straightforward and went really well,No they doing a awsome job,SaecharnStaples,Louie Mammoliti,Product Research,"Thursday, November 2, 2023 02:00pm (Brisbane Time)",5747099034112654125,44-2023,5,
"2023 November 3, 11:37AM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,NiheshThevakumar,Louie Mammoliti,Website Optimisation,"Friday, November 3, 2023 11:00am (Sydney, Melbourne Time)",5747828697311137282,44-2023,5,
"2023 November 3, 12:23PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,JeneferPark,Louie Mammoliti,Website Optimisation,"Friday, November 3, 2023 08:30am (Japan, Korea Time)",5747855878117759074,44-2023,5,
"2023 November 3, 2:11PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PatrickThomas,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, November 3, 2023 09:50am (Brisbane Time)",5747920898633522386,44-2023,5,
"2023 November 3, 4:20PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,PrabathDissanayake,Louie Mammoliti,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Friday, November 3, 2023 04:30pm (Sydney, Melbourne Time)",5747998512301204139,44-2023,5,
"2023 November 4, 3:54PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,Rochellesmith,Leon Tebyani,"Other (Questions, Pixels, Etc)","Wednesday, November 1, 2023 02:00pm (Sydney, Melbourne Time)",5748846733228242102,44-2023,5,
"2023 November 4, 4:28PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,No,No louie was great!,AlexAng,Louie Mammoliti,Ad Account Review (Before Going Live),"Saturday, November 4, 2023 04:30pm (Sydney, Melbourne Time)",5748867146353572618,44-2023,5,
"2023 November 5, 1:23PM",Leon Tebyani,Product Research,5,5,5,5,"Leon was as always excellent. He answered all the questions and heard my feedback too. Thanks again for guiding us to lead the life we want. 

Lesss go
Sarina",None,SarinaPereira,Leon Tebyani,Product Research,"Sunday, November 5, 2023 03:00pm (Auckland Time)",5749620117611492980,45-2023,5,
"2023 November 5, 2:21PM",Leon Tebyani,Product Research,5,5,5,5,,,YasutoshiPark,Leon Tebyani,Product Research,"Sunday, November 5, 2023 02:00pm (Sydney, Melbourne Time)",5749654876368564025,45-2023,5,
"2023 November 5, 3:47PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,ShaneKuswara,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, November 5, 2023 04:50pm (Sydney, Melbourne Time)",5749742530515813641,45-2023,5,
"2023 November 5, 6:38PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,NikosZotos,Louie Mammoliti,Website Optimisation,"Saturday, October 28, 2023 07:00 (Central European Time)",5749809216936857938,45-2023,5,
"2023 November 6, 12:47AM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,Ashish,Louie Mammoliti,Ad Account Review (After Going Live),"Saturday, November 4, 2023 12:10pm (Sydney, Melbourne Time)",5750030704679667064,45-2023,5,
"2023 November 6, 12:25PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PrabathDissanayake,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, November 6, 2023 10:50am (Sydney, Melbourne Time)",5750449188016888685,45-2023,5,
"2023 November 6, 5:26PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,shannon,Leon Tebyani,Ad Account Review (After Going Live),"Monday, November 6, 2023 07:30 (Central European Time)",5750629694512157728,45-2023,5,
"2023 November 6, 5:33PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,TomKopun,Michael Bondarenko,Ad Account Review (Before Going Live),"Monday, November 6, 2023 04:20pm (Adelaide Time)",5750634347211431626,45-2023,5,
"2023 November 6, 7:40PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,ElbertPowa,Leon Tebyani,Ad Account Review (After Going Live),"Monday, November 6, 2023 07:30pm (Sydney, Melbourne Time)",5750710147791284285,45-2023,5,
"2023 November 6, 8:01PM",Leon Tebyani,"Website Optimisation
Ad Angle Review",5,5,5,5,,,SufanaZaman,Leon Tebyani,"Other (Questions, Pixels, Etc)","Monday, November 6, 2023 08:00pm (Sydney, Melbourne Time)",5750722968648712642,45-2023,5,
"2023 November 6, 8:04PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PratibhaPanwar,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, November 6, 2023 02:20pm (Adelaide Time)",5750724516514169095,45-2023,5,
"2023 November 7, 11:01AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,Jocelyn,Michael Bondarenko,Ad Account Review (Before Going Live),"Tuesday, November 7, 2023 11:10am (Sydney, Melbourne Time)",5751263118323980496,45-2023,5,
"2023 November 7, 6:42PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,MarcoEdalini,Michael Bondarenko,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Tuesday, November 7, 2023 04:30pm (Auckland Time)",5751539745826128990,45-2023,5,
"2023 November 8, 3:16PM",Michael Bondarenko,Ad Account Review,5,5,5,5,"Great energy, felt heard and motivated, Thank You!",Some coaches do make you feel like you're one of thousands which is understandable but Michael was present and made you feel like it was just you and him which is greatly appreciated. Thanks again.,JamesHarris,Michael Bondarenko,Ad Account Review (Before Going Live),"Wednesday, November 8, 2023 06:10 (Central Africa Time)",5752279742215043605,45-2023,5,
"2023 November 8, 7:57PM",Leon Tebyani,Ad Account Review,5,5,5,5,So helpful. Inspiring. Motivating ?,No,nicholas,Leon Tebyani,Ad Account Review (After Going Live),"Wednesday, November 8, 2023 07:10pm (Sydney, Melbourne Time)",5752448366813607665,45-2023,5,
"2023 November 8, 8:29PM",Michael Bondarenko,Ad Account Review,5,5,5,5,No. Michael was great and knowledgeable. Very helpful.,,JuliaLavida,Michael Bondarenko,Ad Account Review (After Going Live),"Wednesday, November 8, 2023 10:20am (Adelaide Time)",5752467994181184140,45-2023,5,
"2023 November 9, 12:09AM",Michael Bondarenko,Product Research,5,5,5,5,,,MohitJassal,Michael Bondarenko,Product Research,"Wednesday, November 8, 2023 02:00pm (Australia/Perth)",5752599756776736646,45-2023,5,
"2023 November 9, 2:06AM",Leon Tebyani,Ad Account Review,5,5,5,5,,,DrewFarnsworth,Leon Tebyani,Ad Account Review (After Going Live),"Tuesday, November 7, 2023 08:10pm (Pacific Time - US",5752669669215375243,45-2023,5,
"2023 November 9, 10:53AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,LiamAldridge,Michael Bondarenko,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Wednesday, November 8, 2023 03:10pm (Brisbane Time)",5752986396525561597,45-2023,5,
"2023 November 9, 4:40PM",Michael Bondarenko,Ad Account Review,5,5,5,5,"Michael was great! He provided excellent advice, support and reassurance that I was on track. Too bad there was a zoom tech issue at the start overall 10/10 for what time we had",,JacobBresaz-O'Connor,Michael Bondarenko,Ad Account Review (Before Going Live),"Thursday, November 9, 2023 06:30pm (Auckland Time)",5753194035914537403,45-2023,5,
"2023 November 9, 5:02PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,Very helpful as all coaches are :),,Martine,Michael Bondarenko,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Thursday, November 9, 2023 04:10pm (Brisbane Time)",5753207259221393855,45-2023,5,
"2023 November 9, 5:52PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,TimothyLongden,Michael Bondarenko,Ad Account Review (Before Going Live),"Thursday, November 9, 2023 04:20pm (Adelaide Time)",5753237315112150749,45-2023,5,
"2023 November 10, 12:27PM",Michael Bondarenko,"Ad Angle Review
Ad Account Review",5,5,5,5,,,NiheshThevakumar,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, November 10, 2023 11:30am (Sydney, Melbourne Time)",5753906737319454729,45-2023,5,
"2023 November 12, 1:02PM",Leon Tebyani,Website Optimisation,5,5,5,5,,,Nazim,Leon Tebyani,Website Optimisation,"Sunday, November 12, 2023 01:00pm (Sydney, Melbourne Time)",5755655359666736884,46-2023,5,
"2023 November 12, 3:41PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,DavidPearse,Leon Tebyani,"Other (Questions, Pixels, Etc)","Sunday, November 12, 2023 03:00pm (Adelaide Time)",5755750914858614297,46-2023,5,
"2023 November 12, 3:43PM",Leon Tebyani,Website Optimisation,5,5,5,5,,,StefanRiolo,Leon Tebyani,Website Optimisation,"Sunday, November 12, 2023 11:00am (Australia/Perth)",5755752359126358310,46-2023,5,
"2023 November 13, 1:05PM",Leon Tebyani,Product Research,5,5,5,5,None. Very happy with Leon. He's a legend!,,christiankosasih,Leon Tebyani,Product Research,"Monday, November 13, 2023 01:00pm (Sydney, Melbourne Time)",5756521202223891540,46-2023,5,
"2023 November 13, 6:17PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,shannon,Leon Tebyani,Ad Account Review (After Going Live),"Monday, November 13, 2023 08:10 (Central European Time)",5756708485566483446,46-2023,5,
"2023 November 14, 7:33AM",Leon Tebyani,Ad Account Review,5,5,4,4,,,Jocelyn,Leon Tebyani,Ad Account Review (After Going Live),"Monday, November 13, 2023 06:50pm (Sydney, Melbourne Time)",5757186148327198190,46-2023,4.5,
"2023 November 14, 11:05AM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,IsabelaCastro,Michael Bondarenko,Ad Account Review (After Going Live),"Tuesday, November 14, 2023 11:10am (Sydney, Melbourne Time)",5757313295687420593,46-2023,5,
"2023 November 14, 11:12AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,NiheshThevakumar,Michael Bondarenko,Ad Account Review (Before Going Live),"Tuesday, November 14, 2023 10:50am (Sydney, Melbourne Time)",5757317413523115936,46-2023,5,
"2023 November 14, 6:03PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,Brandon,Leon Tebyani,Ad Account Review (After Going Live),"Tuesday, November 14, 2023 08:10pm (Auckland Time)",5757564064819300426,46-2023,5,
"2023 November 15, 10:56PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,Great call with Bondy the legend,,,,,,5758603934985418738,46-2023,5,
"2023 November 16, 2:03PM",Michael Bondarenko,Product Research,5,5,5,5,"Michael's guidance was excellent.
Was overthinking things and now I have a clear path on what direction I need to take.
Also wants me to
Contact him in a couple of weeks just
To See how I'm tracking.","Nothing at the moment just the fact that he wants to check in a couple of weeks how I'm going is enough dedication to his profession/role.
Thank you again",PeterVincetic,Michael Bondarenko,Product Research,"Thursday, November 16, 2023 01:00pm (Brisbane Time)",5759148379718409262,46-2023,5,
"2023 November 16, 5:29PM",Michael Bondarenko,Product Research,5,5,5,5,,,AlexAddison,Michael Bondarenko,Product Research,"Thursday, November 16, 2023 05:00pm (Sydney, Melbourne Time)",5759271527961794420,46-2023,5,
"2023 November 16, 7:17PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,TimothyLongden,Leon Tebyani,Ad Account Review (After Going Live),"Thursday, November 16, 2023 05:00pm (Adelaide Time)",5759336538614868294,46-2023,5,
"2023 November 16, 8:11PM",Leon Tebyani,Website Optimisation,5,5,5,5,,,NikosZotos,Leon Tebyani,Website Optimisation,"Wednesday, November 15, 2023 05:00 (Eastern European Time)",5759368857494399405,46-2023,5,
"2023 November 17, 10:01AM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,kelvindobariya,Louie Mammoliti,Ad Account Review (After Going Live),"Friday, November 17, 2023 09:40am (Adelaide Time)",5759866763394770944,46-2023,5,
"2023 November 17, 2:41PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,SufanaZaman,Michael Bondarenko,Ad Account Review (Before Going Live),"Friday, November 17, 2023 02:50pm (Sydney, Melbourne Time)",5760034779028180424,46-2023,5,
"2023 November 17, 4:04PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,Amazing guide,,AakashTailor,Louie Mammoliti,Ad Account Review (After Going Live),"Friday, November 17, 2023 02:30pm (Sydney, Melbourne Time)",5760084874296289223,46-2023,5,
"2023 November 17, 4:22PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,Harshil,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, November 17, 2023 04:30pm (Sydney, Melbourne Time)",5760095668145920573,46-2023,5,
"2023 November 17, 4:26PM",Luigi Mammoliti,Ad Angle Review,5,4,3,4,"It would be great if Luigi's face is shown appropriately thru the cam so as to make it like a face to face conversation. His computer's camera angle is pretty high - making it look like his talking to the table/notebook (instead of us)...which is quite weird. Or maybe he's just shy? But anyways, no major feedback as he's been helpful - just something to improve.",As above,YasutoshiPark,Louie Mammoliti,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Friday, November 17, 2023 04:30pm (Sydney, Melbourne Time)",5760098056368228622,46-2023,4,
"2023 November 17, 6:32PM",Michael Bondarenko,Ad Account Review,5,5,5,5,"great help!
good to have coaching calls with different coaches!",.,nicholas,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, November 17, 2023 05:10pm (Sydney, Melbourne Time)",5760173235861918248,46-2023,5,
"2023 November 18, 7:08PM",Luigi Mammoliti,"Ad Angle Review
Ad Account Review",5,5,5,5,,,KarimFarran,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Saturday, November 18, 2023 04:00pm (Sydney, Melbourne Time)",5761059296412269364,46-2023,5,
"2023 November 19, 6:15AM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,DrewFarnsworth,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Thursday, November 16, 2023 07:00pm (Pacific Time - US",5761459599572165080,47-2023,5,
"2023 November 19, 2:31PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,LisWang,Louie Mammoliti,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Thursday, November 16, 2023 05:30pm (Sydney, Melbourne Time)",5761756891126524783,47-2023,5,
"2023 November 19, 5:01PM",Leon Tebyani,Ad Account Review,5,5,5,5,"Such a nice guy. Soooo helpful . looking forward to putting all this new information to practice

thanks for everything team

chris",they are great thanks you so much 10/10,CHRISTOPHERMOLONY,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, November 19, 2023 07:10 (Central European Time)",5761847028329506421,47-2023,5,
"2023 November 19, 6:59PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,Brandon,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, November 19, 2023 04:30pm (Auckland Time)",5761917763243347402,47-2023,5,
"2023 November 20, 10:37AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,RochelleSmith,Michael Bondarenko,Ad Account Review (Before Going Live),"Monday, November 20, 2023 10:30am (Sydney, Melbourne Time)",5762480334623705426,47-2023,5,
"2023 November 20, 1:00PM",Leon Tebyani,Product Research,5,5,5,5,,,tugcebahar,Leon Tebyani,Product Research,"Monday, November 20, 2023 01:00pm (Sydney, Melbourne Time)",5762566525242555832,47-2023,5,
"2023 November 20, 5:21PM",Michael Bondarenko,"Ad Angle Review
Ad Account Review",5,5,5,5,"No, Michael Was Great. Absolute champion.",Always room to improve but the coaches are always help and Michael really helped me out especially with the recommendation of Chat GPT I found all my powerful ad content in 10mins and it looks to be an absolute game changer.,Jacob,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, November 20, 2023 06:50pm (Auckland Time)",5762722925912306007,47-2023,5,
"2023 November 20, 6:06PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,PatrickMillar,Leon Tebyani,Ad Account Review (After Going Live),"Monday, November 20, 2023 06:10pm (Sydney, Melbourne Time)",5762749760225818858,47-2023,5,
"2023 November 20, 7:06PM",Leon Tebyani,Website Optimisation,5,5,4,4,,,AbdulRehman,Leon Tebyani,Website Optimisation,"Sunday, November 19, 2023 01:30pm (Adelaide Time)",5762785710788108727,47-2023,4.5,
"2023 November 20, 10:02PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,KarimFarran,Leon Tebyani,"Other (Questions, Pixels, Etc)","Monday, November 20, 2023 08:00pm (Sydney, Melbourne Time)",5762891676419735945,47-2023,5,
"2023 November 20, 10:30PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,ShannonMurphy,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, November 20, 2023 08:30 (East Africa Time)",5762908028023199133,47-2023,5,
"2023 November 21, 9:01AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,Ruba,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, November 20, 2023 04:10pm (Sydney, Melbourne Time)",5763286932411976256,47-2023,5,
"2023 November 21, 2:32PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,TomKopun,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Friday, November 17, 2023 03:30pm (Adelaide Time)",5763485717706949491,47-2023,5,
"2023 November 21, 2:33PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,TomKopun,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, November 19, 2023 02:40pm (Adelaide Time)",5763485917701209371,47-2023,5,
"2023 November 21, 5:22PM",Michael Bondarenko,Product Research,4,4,4,4,"The coaching call did feel a little rushed  but in saying that i managed to find viable products to progress to the next stage and i am greatful for that. 

the shared screen was also lagging from my side so i couldn't keep up with what was being shared on the screen.",double checking that shared screen is benefitting both parties.,RachelDondi,Michael Bondarenko,Product Research,"Tuesday, November 21, 2023 07:00pm (Auckland Time)",5763587751411152525,47-2023,4,
"2023 November 21, 8:23PM",Leon Tebyani,Ad Account Review,1,2,4,1,"Leon was unable to help me with my Facebook problem of not being able to create a facebook Business Manager Account.

I have a technical error and Leon was not sure where to go with it. He has suggested that I just try continuing to message facebook. I have been trying this now for a couple of days and I dont have a solution to he problem.","I would have liked more support and potential feedback from Leon on discussing the issue with his other coaches and getting back to me with a potential solution, such as contacting facebook through his business manager account.

I am really anxious and unsure of where to go from here. I dont have a solution or any advice to know where to turn next.",RobertKennedy,Leon Tebyani,"Other (Questions, Pixels, Etc)","Wednesday, November 15, 2023 06:00pm (Brisbane Time)",5763696086201612362,47-2023,2,
